0,1,2,3,4
,,,,
200,"(0.0, 0.1)",3,673,569
200,"(0.0, 0.1)",4,574,500
200,"(0.0, 0.1)",5,483,426
200,"(0.0, 0.1)",6,400,367
200,"(0.0, 0.1)",7,358,339
200,"(0.0, 0.1)",8,319,293
200,"(0.0, 0.1)",9,292,280
200,"(0.0, 0.1)",10,276,223
200,"(0.0, 0.1)",11,248,246
200,"(0.0, 0.1)",12,236,208
200,"(0.0, 0.1)",13,216,206
200,"(0.0, 0.1)",14,194,180
200,"(0.0, 0.1)",15,182,175
200,"(0.0, 0.1)",16,171,155
200,"(0.0, 0.1)",17,155,152
200,"(0.0, 0.1)",18,165,135
200,"(0.0, 0.1)",19,147,123
200,"(0.0, 0.1)",20,149,127
,,,,
200,"(0.0, 0.3)",3,777,671
200,"(0.0, 0.3)",4,681,601
200,"(0.0, 0.3)",5,606,501
200,"(0.0, 0.3)",6,548,463
200,"(0.0, 0.3)",7,528,446
200,"(0.0, 0.3)",8,490,372
200,"(0.0, 0.3)",9,444,327
200,"(0.0, 0.3)",10,384,299
200,"(0.0, 0.3)",11,363,310
200,"(0.0, 0.3)",12,332,291
200,"(0.0, 0.3)",13,304,256
200,"(0.0, 0.3)",14,311,252
200,"(0.0, 0.3)",15,270,199
200,"(0.0, 0.3)",16,280,215
200,"(0.0, 0.3)",17,244,193
200,"(0.0, 0.3)",18,221,194
200,"(0.0, 0.3)",19,226,173
200,"(0.0, 0.3)",20,240,149
,,,,
200,"(0.0, 0.5)",3,817,713
200,"(0.0, 0.5)",4,760,650
200,"(0.0, 0.5)",5,700,559
200,"(0.0, 0.5)",6,655,561
200,"(0.0, 0.5)",7,620,491
200,"(0.0, 0.5)",8,561,438
200,"(0.0, 0.5)",9,524,387
200,"(0.0, 0.5)",10,495,397
200,"(0.0, 0.5)",11,482,380
200,"(0.0, 0.5)",12,466,329
200,"(0.0, 0.5)",13,435,357
200,"(0.0, 0.5)",14,393,300
200,"(0.0, 0.5)",15,400,283
200,"(0.0, 0.5)",16,355,268
200,"(0.0, 0.5)",17,335,256
200,"(0.0, 0.5)",18,324,232
200,"(0.0, 0.5)",19,291,221
200,"(0.0, 0.5)",20,300,223
,,,,
1000,"(0.0, 0.1)",3,798,717
1000,"(0.0, 0.1)",4,739,604
1000,"(0.0, 0.1)",5,649,555
1000,"(0.0, 0.1)",6,587,498
1000,"(0.0, 0.1)",7,580,452
1000,"(0.0, 0.1)",8,523,410
1000,"(0.0, 0.1)",9,476,385
1000,"(0.0, 0.1)",10,444,361
1000,"(0.0, 0.1)",11,406,340
1000,"(0.0, 0.1)",12,381,324
1000,"(0.0, 0.1)",13,362,303
1000,"(0.0, 0.1)",14,328,273
1000,"(0.0, 0.1)",15,328,280
1000,"(0.0, 0.1)",16,322,244
1000,"(0.0, 0.1)",17,292,256
1000,"(0.0, 0.1)",18,264,231
1000,"(0.0, 0.1)",19,268,198
1000,"(0.0, 0.1)",20,249,210
,,,,
1000,"(0.0, 0.3)",3,894,758
1000,"(0.0, 0.3)",4,827,720
1000,"(0.0, 0.3)",5,795,632
1000,"(0.0, 0.3)",6,747,593
1000,"(0.0, 0.3)",7,703,569
1000,"(0.0, 0.3)",8,669,520
1000,"(0.0, 0.3)",9,652,490
1000,"(0.0, 0.3)",10,617,474
1000,"(0.0, 0.3)",11,566,427
1000,"(0.0, 0.3)",12,547,423
1000,"(0.0, 0.3)",13,557,383
1000,"(0.0, 0.3)",14,495,350
1000,"(0.0, 0.3)",15,487,360
1000,"(0.0, 0.3)",16,466,315
1000,"(0.0, 0.3)",17,434,341
1000,"(0.0, 0.3)",18,457,312
1000,"(0.0, 0.3)",19,410,278
1000,"(0.0, 0.3)",20,392,277
,,,,
1000,"(0.0, 0.5)",3,916,792
1000,"(0.0, 0.5)",4,862,719
1000,"(0.0, 0.5)",5,848,721
1000,"(0.0, 0.5)",6,826,642
1000,"(0.0, 0.5)",7,783,592
1000,"(0.0, 0.5)",8,743,590
1000,"(0.0, 0.5)",9,717,532
1000,"(0.0, 0.5)",10,693,528
1000,"(0.0, 0.5)",11,685,474
1000,"(0.0, 0.5)",12,673,458
1000,"(0.0, 0.5)",13,614,449
1000,"(0.0, 0.5)",14,637,404
1000,"(0.0, 0.5)",15,580,421
1000,"(0.0, 0.5)",16,550,393
1000,"(0.0, 0.5)",17,549,394
1000,"(0.0, 0.5)",18,533,353
1000,"(0.0, 0.5)",19,516,361
1000,"(0.0, 0.5)",20,508,334
,,,,
5000,"(0.0, 0.1)",3,885,771
5000,"(0.0, 0.1)",4,849,710
5000,"(0.0, 0.1)",5,814,675
5000,"(0.0, 0.1)",6,749,619
5000,"(0.0, 0.1)",7,736,591
5000,"(0.0, 0.1)",8,696,572
5000,"(0.0, 0.1)",9,678,513
5000,"(0.0, 0.1)",10,648,499
5000,"(0.0, 0.1)",11,634,463
5000,"(0.0, 0.1)",12,578,431
5000,"(0.0, 0.1)",13,587,448
5000,"(0.0, 0.1)",14,539,376
5000,"(0.0, 0.1)",15,531,393
5000,"(0.0, 0.1)",16,505,364
5000,"(0.0, 0.1)",17,471,365
5000,"(0.0, 0.1)",18,495,323
5000,"(0.0, 0.1)",19,457,296
5000,"(0.0, 0.1)",20,426,308
,,,,
5000,"(0.0, 0.3)",3,938,822
5000,"(0.0, 0.3)",4,896,769
5000,"(0.0, 0.3)",5,879,702
5000,"(0.0, 0.3)",6,870,682
5000,"(0.0, 0.3)",7,841,660
5000,"(0.0, 0.3)",8,866,624
5000,"(0.0, 0.3)",9,799,605
5000,"(0.0, 0.3)",10,776,573
5000,"(0.0, 0.3)",11,771,585
5000,"(0.0, 0.3)",12,735,501
5000,"(0.0, 0.3)",13,728,519
5000,"(0.0, 0.3)",14,743,473
5000,"(0.0, 0.3)",15,690,478
5000,"(0.0, 0.3)",16,709,444
5000,"(0.0, 0.3)",17,644,461
5000,"(0.0, 0.3)",18,663,437
5000,"(0.0, 0.3)",19,623,408
5000,"(0.0, 0.3)",20,613,396
,,,,
5000,"(0.0, 0.5)",3,954,858
5000,"(0.0, 0.5)",4,943,802
5000,"(0.0, 0.5)",5,926,769
5000,"(0.0, 0.5)",6,901,748
5000,"(0.0, 0.5)",7,913,697
5000,"(0.0, 0.5)",8,879,652
5000,"(0.0, 0.5)",9,876,639
5000,"(0.0, 0.5)",10,822,605
5000,"(0.0, 0.5)",11,842,582
5000,"(0.0, 0.5)",12,841,577
5000,"(0.0, 0.5)",13,813,533
5000,"(0.0, 0.5)",14,798,550
5000,"(0.0, 0.5)",15,799,539
5000,"(0.0, 0.5)",16,772,535
5000,"(0.0, 0.5)",17,756,493
5000,"(0.0, 0.5)",18,767,488
5000,"(0.0, 0.5)",19,738,437
5000,"(0.0, 0.5)",20,732,449
